ruta_completa,nombre_archivo,nombre_unico_completo,ruta_estandarizada,archivo_existe,escenario,periodo,escala,sector,sub_sector,componente,tipo,atributo,diferenciador,tema_principal,subcarpeta_1,subcarpeta_2,subcarpeta_3,subcarpeta_4,subcarpeta_5,nombre_unico
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Alto Andino Hum\Ame_BosAltAndHum_SSP245_2041_2060.jpg,Ame_BosAltAndHum_SSP245_2041_2060.jpg,SSP245_2041-2060_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo.jpg,imagenes_estandarizadas/SSP245_2041-2060_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo.jpg,True,SSP245,2041-2060,Territorial,,,Biotico,Amenaza,Bosque_Alto_Andino_Humedo,,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Alto Andino Hum,,,SSP245_2041-2060_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Alto Andino Hum\Ame_BosAltAndHum_SSP245_2081_2100.jpg,Ame_BosAltAndHum_SSP245_2081_2100.jpg,SSP245_2081-2100_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo.jpg,imagenes_estandarizadas/SSP245_2081-2100_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo.jpg,True,SSP245,2081-2100,Territorial,,,Biotico,Amenaza,Bosque_Alto_Andino_Humedo,,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Alto Andino Hum,,,SSP245_2081-2100_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Alto Andino Hum\Ame_BosAltAndHum_SSP370_2041_2060.jpg,Ame_BosAltAndHum_SSP370_2041_2060.jpg,SSP370_2041-2060_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo.jpg,imagenes_estandarizadas/SSP370_2041-2060_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo.jpg,True,SSP370,2041-2060,Territorial,,,Biotico,Amenaza,Bosque_Alto_Andino_Humedo,,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Alto Andino Hum,,,SSP370_2041-2060_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Alto Andino Hum\Ame_BosAltAndHum_SSP370_2081_2100.jpg,Ame_BosAltAndHum_SSP370_2081_2100.jpg,SSP370_2081-2100_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo.jpg,imagenes_estandarizadas/SSP370_2081-2100_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo.jpg,True,SSP370,2081-2100,Territorial,,,Biotico,Amenaza,Bosque_Alto_Andino_Humedo,,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Alto Andino Hum,,,SSP370_2081-2100_Territorial_Biotico_Amenaza_Bosque_Alto_Andino_Humedo
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Bajo Hum\Ame_BosAndBajHum_SSP245_2041_2060.jpg,Ame_BosAndBajHum_SSP245_2041_2060.jpg,SSP245_2041-2060_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo.jpg,imagenes_estandarizadas/SSP245_2041-2060_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo.jpg,True,SSP245,2041-2060,Territorial,,,Biotico,Amenaza,Bosque_Andino_Bajo_Humedo,,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Bajo Hum,,,SSP245_2041-2060_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Bajo Hum\Ame_BosAndBajHum_SSP245_2081_2100.jpg,Ame_BosAndBajHum_SSP245_2081_2100.jpg,SSP245_2081-2100_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo.jpg,imagenes_estandarizadas/SSP245_2081-2100_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo.jpg,True,SSP245,2081-2100,Territorial,,,Biotico,Amenaza,Bosque_Andino_Bajo_Humedo,,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Bajo Hum,,,SSP245_2081-2100_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Bajo Hum\Ame_BosAndBajHum_SSP370_2041_2060.jpg,Ame_BosAndBajHum_SSP370_2041_2060.jpg,SSP370_2041-2060_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo.jpg,imagenes_estandarizadas/SSP370_2041-2060_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo.jpg,True,SSP370,2041-2060,Territorial,,,Biotico,Amenaza,Bosque_Andino_Bajo_Humedo,,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Bajo Hum,,,SSP370_2041-2060_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Bajo Hum\Ame_BosAndBajHum_SSP370_2081_2100.jpg,Ame_BosAndBajHum_SSP370_2081_2100.jpg,SSP370_2081-2100_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo.jpg,imagenes_estandarizadas/SSP370_2081-2100_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo.jpg,True,SSP370,2081-2100,Territorial,,,Biotico,Amenaza,Bosque_Andino_Bajo_Humedo,,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Bajo Hum,,,SSP370_2081-2100_Territorial_Biotico_Amenaza_Bosque_Andino_Bajo_Humedo
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Lluvioso\Ame_BosAndLuv_SSP245_2041_2060.jpg,Ame_BosAndLuv_SSP245_2041_2060.jpg,SSP245_2041-2060_Territorial_Biotico_Amenaza_Bosque_Andino_Lluvioso.jpg,imagenes_estandarizadas/SSP245_2041-2060_Territorial_Biotico_Amenaza_Bosque_Andino_Lluvioso.jpg,True,SSP245,2041-2060,Territorial,,,Biotico,Amenaza,Bosque_Andino_Lluvioso,,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Lluvioso,,,SSP245_2041-2060_Territorial_Biotico_Amenaza_Bosque_Andino_Lluvioso
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Lluvioso\Ame_BosAndLuv_SSP245_2081_2100.jpg,Ame_BosAndLuv_SSP245_2081_2100.jpg,SSP245_2081-2100_Territorial_Biotico_Amenaza_Bosque_Andino_Lluvioso.jpg,imagenes_estandarizadas/SSP245_2081-2100_Territorial_Biotico_Amenaza_Bosque_Andino_Lluvioso.jpg,True,SSP245,2081-2100,Territorial,,,Biotico,Amenaza,Bosque_Andino_Lluvioso,,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Lluvioso,,,SSP245_2081-2100_Territorial_Biotico_Amenaza_Bosque_Andino_Lluvioso
