ruta_completa,tema_principal,subcarpeta_1,subcarpeta_2,subcarpeta_3,subcarpeta_4,subcarpeta_5,nombre_archivo,escenario,periodo,escala,sector,sub_sector,componente,tipo,atributo,diferenciador
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Alto Andino Hum\Ame_BosAltAndHum_SSP245_2041_2060.jpg,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Alto Andino Hum,,,Ame_BosAltAndHum_SSP245_2041_2060.jpg,SSP245,2041-2060,Territorial,,,Biotico,AMENAZA,Bosque Alto Andino Hum,
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Alto Andino Hum\Ame_BosAltAndHum_SSP245_2081_2100.jpg,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Alto Andino Hum,,,Ame_BosAltAndHum_SSP245_2081_2100.jpg,SSP245,2081-2100,Territorial,,,Biotico,AMENAZA,Bosque Alto Andino Hum,
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Alto Andino Hum\Ame_BosAltAndHum_SSP370_2041_2060.jpg,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Alto Andino Hum,,,Ame_BosAltAndHum_SSP370_2041_2060.jpg,SSP370,2041-2060,Territorial,,,Biotico,AMENAZA,Bosque Alto Andino Hum,
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Alto Andino Hum\Ame_BosAltAndHum_SSP370_2081_2100.jpg,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Alto Andino Hum,,,Ame_BosAltAndHum_SSP370_2081_2100.jpg,SSP370,2081-2100,Territorial,,,Biotico,AMENAZA,Bosque Alto Andino Hum,
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Bajo Hum\Ame_BosAndBajHum_SSP245_2041_2060.jpg,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Bajo Hum,,,Ame_BosAndBajHum_SSP245_2041_2060.jpg,SSP245,2041-2060,Territorial,,,Biotico,AMENAZA,Bosque Andino Bajo Hum,
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Bajo Hum\Ame_BosAndBajHum_SSP245_2081_2100.jpg,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Bajo Hum,,,Ame_BosAndBajHum_SSP245_2081_2100.jpg,SSP245,2081-2100,Territorial,,,Biotico,AMENAZA,Bosque Andino Bajo Hum,
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Bajo Hum\Ame_BosAndBajHum_SSP370_2041_2060.jpg,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Bajo Hum,,,Ame_BosAndBajHum_SSP370_2041_2060.jpg,SSP370,2041-2060,Territorial,,,Biotico,AMENAZA,Bosque Andino Bajo Hum,
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Bajo Hum\Ame_BosAndBajHum_SSP370_2081_2100.jpg,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Bajo Hum,,,Ame_BosAndBajHum_SSP370_2081_2100.jpg,SSP370,2081-2100,Territorial,,,Biotico,AMENAZA,Bosque Andino Bajo Hum,
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Lluvioso\Ame_BosAndLuv_SSP245_2041_2060.jpg,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Lluvioso,,,Ame_BosAndLuv_SSP245_2041_2060.jpg,SSP245,2041-2060,Territorial,,,Biotico,AMENAZA,Bosque Andino Lluvioso,
d:\app-img-01\Analisis_territorial\Biotico\Salidas_graficas_bio\AMENAZA\Bosque Andino Lluvioso\Ame_BosAndLuv_SSP245_2081_2100.jpg,Biotico,Salidas_graficas_bio,AMENAZA,Bosque Andino Lluvioso,,,Ame_BosAndLuv_SSP245_2081_2100.jpg,SSP245,2081-2100,Territorial,,,Biotico,AMENAZA,Bosque Andino Lluvioso,
